CODE,CATEGORY
59762000000,
52637000000,RX_ACE
68789000000,
60312000000,RX_DIGOXIN
55648000000,RX_BBLOCKER
68387000000,RX_LOOP_DIURETIC
182823689,RX_BBLOCKER
43806000000,RX_BBLOCKER
51079000000,RX_BBLOCKER
57451000000,RX_ACE
179192590,
58016000000,RX_BBLOCKER
13811000000,RX_BBLOCKER
70518000000,RX_ACE
591084201,RX_BBLOCKER
555042705,RX_ACE
64205000000,RX_BBLOCKER
89035110,RX_BBLOCKER
10702000000,RX_BBLOCKER
49158000000,
58016000000,RX_ACE
58016000000,
58016000000,RX_BBLOCKER
75002299,RX_BBLOCKER
23491000000,RX_ACE
25057131,RX_BBLOCKER
51129000000,RX_BBLOCKER
712200110,RX_BBLOCKER
12634000000,
43353000000,RX_ACE
63629000000,
68789000000,RX_THIAZIDE
23491000000,RX_BBLOCKER
33261000000,RX_NITRATES
66336000000,RX_THIAZIDE
228216396,RX_BBLOCKER
54868000000,RX_NITRATES
60429000000,RX_LOOP_DIURETIC
59591000000,RX_BBLOCKER
65862000000,RX_ACE
51079000000,RX_NITRATES
46042899,RX_BBLOCKER
33342000000,RX_THIAZIDE
51285000000,RX_THIAZIDE
66992000000,RX_THIAZIDE
68788000000,RX_BBLOCKER
51285000000,
68382000000,RX_ACE
55648000000,RX_BBLOCKER
55648000000,RX_BBLOCKER
54041525,RX_ACE
58914000000,RX_BBLOCKER
66116000000,RX_ACE
63629000000,RX_ACE
894514402,
64679000000,RX_BBLOCKER
781524651,RX_LOOP_DIURETIC
55154000000,
63304000000,RX_THIAZIDE
7413955,RX_ACE
71205000000,RX_ACE
93723898,RX_ACE
58016000000,RX_THIAZIDE
65726000000,
182051489,RX_ACE
71335000000,
50090000000,RX_ACE
904065346,RX_BBLOCKER
23155000000,RX_ACE
55155000000,RX_THIAZIDE
60505000000,RX_NITRATES
58016000000,
58016000000,RX_BBLOCKER
67544000000,RX_ACE
364262805,
67296000000,RX_NITRATES
72865000000,RX_THIAZIDE
247135530,RX_BBLOCKER
53002000000,RX_ACE
68789000000,RX_THIAZIDE
71335000000,RX_BBLOCKER
43353000000,RX_ACE
54868000000,
68789000000,RX_BBLOCKER
85081930,RX_LOOP_DIURETIC
585097572,RX_THIAZIDE
63630000000,RX_THIAZIDE
43353000000,RX_BBLOCKER
43063000000,RX_DIGOXIN
61919000000,RX_BBLOCKER
57297000000,RX_BBLOCKER
57297000000,RX_THIAZIDE
67544000000,RX_BBLOCKER
615654731,RX_ACE
615658630,RX_ACE
62584000000,RX_NITRATES
20254000000,RX_LOOP_DIURETIC
55953000000,RX_BBLOCKER
21695000000,RX_THIAZIDE
7338313,RX_BBLOCKER
63304000000,RX_BBLOCKER
13411000000,RX_THIAZIDE
591040905,
50742000000,RX_THIAZIDE
51129000000,RX_NITRATES
182051710,
58016000000,RX_ACE
58016000000,
68788000000,RX_BBLOCKER
71335000000,RX_NITRATES
904504540,RX_ACE
719143513,
51407000000,RX_ACE
43353000000,RX_DIGOXIN
349875601,
57866000000,RX_BBLOCKER
63629000000,RX_THIAZIDE
13107000000,RX_LOOP_DIURETIC
63630000000,RX_BBLOCKER
55887000000,RX_ACE
33261000000,RX_ACE
603618221,
50090000000,
68789000000,RX_THIAZIDE
54868000000,RX_THIAZIDE
42254000000,RX_THIAZIDE
54429725,
615155901,RX_THIAZIDE
78047234,
615354439,RX_ACE
55289000000,RX_BBLOCKER
54570000000,RX_BBLOCKER
54869000000,RX_BBLOCKER
556025905,RX_THIAZIDE
28595000000,RX_ACE
490005300,RX_LOOP_DIURETIC
49999000000,RX_NITRATES
58016000000,RX_LOOP_DIURETIC
71335000000,RX_NITRATES
68789000000,RX_THIAZIDE
16252000000,RX_NITRATES
16714000000,
71335000000,RX_ACE
52728000000,RX_ACE
49470000000,RX_BBLOCKER
58016000000,RX_THIAZIDE
61392000000,RX_BBLOCKER
157069305,RX_THIAZIDE
51407000000,RX_NITRATES
54738000000,
63187000000,RX_THIAZIDE
68789000000,RX_ACE
55289000000,
677104301,RX_NITRATES
12634000000,
70934000000,RX_BBLOCKER
33261000000,
33261000000,
50091000000,RX_THIAZIDE
51813000000,
68071000000,RX_ACE
131450015,RX_LOOP_DIURETIC
33342000000,RX_ACE
63629000000,RX_BBLOCKER
33358000000,RX_BBLOCKER
527100005,RX_BBLOCKER
71335000000,RX_ACE
54010729,
49999000000,RX_THIAZIDE
43353000000,RX_ACE
51138000000,RX_ACE
76237000000,RX_ACE
64679000000,
310013110,RX_ACE
68115000000,RX_LOOP_DIURETIC
68788000000,
68788000000,RX_THIAZIDE
62332000000,RX_BBLOCKER
71335000000,RX_BBLOCKER
58768000000,RX_THIAZIDE
247057903,RX_ACE
47202000000,RX_ACE
68682000000,RX_THIAZIDE
68382000000,RX_ACE
68462000000,RX_ACE
58016000000,
52555000000,RX_ACE
52125000000,RX_BBLOCKER
59148000000,RX_BBLOCKER
54868000000,RX_THIAZIDE
50090000000,RX_BBLOCKER
179101230,RX_BBLOCKER
10544000000,RX_ACE
63630000000,RX_BBLOCKER
54869000000,RX_BBLOCKER
10544000000,RX_ACE
33261000000,RX_LOOP_DIURETIC
51129000000,RX_BBLOCKER
66336000000,RX_THIAZIDE
54868000000,RX_LOOP_DIURETIC
55045000000,RX_ACE
51079000000,RX_NITRATES
615454039,RX_ACE
591375010,RX_ACE
16729000000,
57867000000,RX_DIGOXIN
69238000000,RX_LOOP_DIURETIC
27444000000,RX_ACE
63739000000,
68789000000,
143117330,RX_ACE
68788000000,RX_ACE
